URL,Search,Entity type,Entity ID,Method,Event count,Event count
https://sacrd.org/directory/subcategory/emergency-food?zipcode=78218,,program,1097,phone,1,1
https://sacrd.org/directory/search?s=comida&zipcode=78228,comida,program,1094,phone,1,1
https://sacrd.org/directory/search?s=despensa&zipcode=78228,despensa,program,1054,email,2,2
https://sacrd.org/directory/subcategory/job-training?zipcode=78207,,program,1072,click,1,1
https://sacrd.org/directory/search?s=job+training&zipcode=78210,job training,program,1010,click,5,5
https://sacrd.org/directory/subcategory/transportation-assistance?zipcode=78207,,program,1014,website,1,1
https://sacrd.org/directory/subcategory/childcare?zipcode=78218,,program,1040,click,2,2
https://sacrd.org/directory/search?s=food+pantry&zipcode=78237,food pantry,program,1111,website,1,1
https://sacrd.org/directory/subcategory/food-pantry?zipcode=78228,,program,1001,see-more,5,5
https://sacrd.org/directory/organization?zipcode=78237,,program,1044,click,8,8
https://sacrd.org/embed/widget?zipcode=78218,,iframe,7,phone,5,5
https://sacrd.org/directory/subcategory/dental-care?zipcode=78218,,program,1075,-,1,1
https://sacrd.org/directory/subcategory/affordable-fresh-food?zipcode=78218,,program,1025,website,2,2
https://sacrd.org/directory/search?s=food+pantry&zipcode=78205,food pantry,iframe,33,see-more,1,1
https://sacrd.org/directory/organization?zipcode=78211,,org,14,email,5,5
https://sacrd.org/directory/subcategory/childcare?zipcode=78205,,program,1084,email,8,8
https://sacrd.org/directory/search?s=nutrition+class&zipcode=78228,nutrition class,org,11,email,1,1
https://sacrd.org/directory/organization?zipcode=78207,,org,5,click,1,1
https://sacrd.org/directory/organization?zipcode=78203,,prog,1025,see-more,5,5
https://sacrd.org/directory/subcategory/mental-healthcare?zipcode=78203,,program,1098,click,1,1
https://sacrd.org/directory/subcategory/food-pantry?zipcode=78218,,program,1023,see-more,1,1
https://sacrd.org/directory/organization?zipcode=78210,,org,7,website,1,1
https://sacrd.org/directory/search?s=nutrition+class&zipcode=78237,nutrition class,org,5,-,1,1
https://sacrd.org/directory/organization?zipcode=78201,,org,10,email,2,2
https://sacrd.org/directory/subcategory/food-pantry?zipcode=78205,,prog,1003,phone,1,1
https://sacrd.org/directory/organization?zipcode=78228,,program,1023,click,1,1
https://sacrd.org/directory/organization?zipcode=78205,,program,1001,click,3,3
https://sacrd.org/directory/search?s=community+garden&zipcode=78205,community garden,org,2,email,2,2
https://sacrd.org/directory/search?s=food+delivery&zipcode=78210,food delivery,org,15,-,2,2
https://sacrd.org/directory/organization?zipcode=78211,,org,6,see-more,2,2
https://sacrd.org/directory/search?s=community+garden&zipcode=78218,community garden,program,1100,-,5,5
https://sacrd.org/directory/subcategory/counseling?zipcode=78205,,program,1005,see-more,8,8
https://sacrd.org/directory/search?s=grocery+help&zipcode=78205,grocery help,program,1045,phone,1,1
https://sacrd.org/directory/organization?zipcode=78201,,prog,1059,see-more,2,2
https://sacrd.org/directory/organization?zipcode=78203,,org,15,click,1,1
https://sacrd.org/directory/organization?zipcode=78210,,program,1099,phone,1,1
https://sacrd.org/directory/subcategory/affordable-fresh-food?zipcode=78210,,prog,1101,-,1,1
https://sacrd.org/directory/subcategory/food-delivery?zipcode=78214,,prog,1118,email,2,2
https://sacrd.org/directory/organization?zipcode=78203,,program,1026,see-more,5,5
https://sacrd.org/directory/organization?zipcode=78203,,org,3,-,1,1
https://sacrd.org/directory/search?s=grocery+help&zipcode=78207,grocery help,org,7,-,5,5
https://sacrd.org/directory/subcategory/food-pantry?zipcode=78205,,program,1001,email,3,3
https://sacrd.org/directory/search?s=dental+clinic&zipcode=78228,dental clinic,org,4,phone,2,2
https://sacrd.org/directory/search?s=dental+clinic&zipcode=78214,dental clinic,program,1031,email,3,3
https://sacrd.org/directory/search?s=food+pantry&zipcode=78205,food pantry,program,1110,see-more,2,2
https://sacrd.org/directory/subcategory/nutrition-education?zipcode=78228,,program,1006,click,2,2
https://sacrd.org/directory/search?s=community+garden&zipcode=78228,community garden,prog,1073,see-more,2,2
https://sacrd.org/directory/organization?zipcode=78201,,program,1061,phone,3,3
https://sacrd.org/directory/organization?zipcode=78202,,program,1116,phone,2,2
https://sacrd.org/directory/search?s=housing+help&zipcode=78205,housing help,prog,1106,see-more,2,2
https://sacrd.org/directory/subcategory/nutrition-education?zipcode=78207,,program,1033,website,5,5
https://sacrd.org/directory/subcategory/free-meals?zipcode=78228,,prog,1106,email,1,1
https://sacrd.org/directory/search?s=community+garden&zipcode=78207,community garden,iframe,1,see-more,3,3
https://sacrd.org/directory/organization?zipcode=78205,,org,7,website,1,1
https://sacrd.org/directory/subcategory/financial-education?zipcode=78237,,program,1088,website,1,1
https://sacrd.org/directory/subcategory/clothing?zipcode=78218,,program,1114,email,2,2
https://sacrd.org/directory/organization?zipcode=78201,,org,4,website,5,5
https://sacrd.org/directory/search?s=grocery+help&zipcode=78214,grocery help,org,13,phone,1,1
https://sacrd.org/directory/organization?zipcode=78214,,org,9,phone,3,3
https://sacrd.org/directory/organization?zipcode=78211,,org,2,website,2,2
https://sacrd.org/directory/subcategory/emergency-food?zipcode=78237,,program,1031,website,1,1
https://sacrd.org/directory/subcategory/job-training?zipcode=78203,,program,1062,email,2,2
https://sacrd.org/directory/subcategory/community-garden?zipcode=78203,,prog,1096,see-more,1,1
https://sacrd.org/directory/subcategory/community-garden?zipcode=78211,,program,1047,click,2,2
https://sacrd.org/directory/search?s=childcare&zipcode=78203,childcare,program,1099,-,3,3
https://sacrd.org/directory/organization?zipcode=78218,,program,1080,website,1,1
https://sacrd.org/directory/organization?zipcode=78202,,org,9,click,1,1
https://sacrd.org/directory/subcategory/free-meals?zipcode=78201,,program,1066,-,2,2
https://sacrd.org/directory/organization?zipcode=78228,,org,5,-,1,1
https://sacrd.org/directory/organization?zipcode=78237,,org,1,website,2,2
https://sacrd.org/directory/subcategory/clothing?zipcode=78205,,program,1042,see-more,1,1
https://sacrd.org/directory/search?s=childcare&zipcode=78203,childcare,program,1105,website,2,2
https://sacrd.org/directory/search?s=comida&zipcode=78207,comida,program,1036,email,5,5
https://sacrd.org/directory/search?s=food+delivery&zipcode=78218,food delivery,program,1079,-,1,1
https://sacrd.org/directory/subcategory/food-pantry?zipcode=78211,,program,1099,phone,2,2
https://sacrd.org/directory/search?s=counseling&zipcode=78207,counseling,program,1112,phone,2,2
https://sacrd.org/directory/organization?zipcode=78202,,org,15,-,2,2
https://sacrd.org/directory/search?s=job+training&zipcode=78237,job training,prog,1060,website,5,5
https://sacrd.org/directory/organization?zipcode=78211,,program,1042,phone,2,2
https://sacrd.org/directory/search?s=despensa&zipcode=78202,despensa,program,1077,email,2,2
https://sacrd.org/directory/subcategory/affordable-fresh-food?zipcode=78218,,program,1101,-,3,3
https://sacrd.org/directory/subcategory/free-meals?zipcode=78218,,program,1035,phone,1,1
https://sacrd.org/directory/organization?zipcode=78210,,program,1055,website,2,2
https://sacrd.org/directory/organization?zipcode=78205,,program,1094,phone,1,1
https://sacrd.org/directory/subcategory/job-training?zipcode=78228,,program,1072,-,2,2
https://sacrd.org/directory/organization?zipcode=78237,,org,13,website,2,2
https://sacrd.org/directory/organization?zipcode=78237,,program,1022,see-more,3,3
https://sacrd.org/directory/subcategory/affordable-fresh-food?zipcode=78203,,prog,1044,click,1,1
https://sacrd.org/directory/subcategory/transportation-assistance?zipcode=78210,,program,1086,phone,3,3
https://sacrd.org/directory/search?s=childcare&zipcode=78210,childcare,iframe,38,phone,3,3
https://sacrd.org/directory/subcategory/nutrition-education?zipcode=78207,,program,1006,website,1,1
https://sacrd.org/directory/organization?zipcode=78207,,org,4,email,1,1
https://sacrd.org/directory/organization?zipcode=78210,,org,6,email,1,1
https://sacrd.org/directory/organization?zipcode=78203,,program,1063,phone,1,1
https://sacrd.org/directory/subcategory/food-pantry?zipcode=78237,,program,1108,phone,2,2
https://sacrd.org/directory/organization?zipcode=78203,,program,1053,see-more,2,2
https://sacrd.org/directory/subcategory/help-pay-for-food?zipcode=78211,,prog,1070,website,1,1
https://sacrd.org/directory/search?s=childcare&zipcode=78211,childcare,prog,1035,email,1,1
https://sacrd.org/directory/subcategory/transportation-assistance?zipcode=78201,,prog,1014,-,1,1
https://sacrd.org/embed/widget?zipcode=78218,,iframe,49,phone,2,2
https://sacrd.org/directory/search?s=dental+clinic&zipcode=78218,dental clinic,org,2,see-more,2,2
https://sacrd.org/directory/subcategory/transportation-assistance?zipcode=78237,,program,1102,website,2,2
https://sacrd.org/directory/subcategory/food-pantry?zipcode=78201,,program,1079,website,8,8
https://sacrd.org/directory/organization?zipcode=78207,,program,1100,email,1,1
https://sacrd.org/directory/search?s=housing+help&zipcode=78237,housing help,program,1006,email,1,1
https://sacrd.org/directory/subcategory/clothing?zipcode=78214,,program,1042,website,5,5
https://sacrd.org/directory/search?s=job+training&zipcode=78201,job training,org,10,see-more,1,1
https://sacrd.org/directory/search?s=childcare&zipcode=78214,childcare,program,1117,-,1,1
https://sacrd.org/embed/widget?zipcode=78202,,iframe,39,click,3,3
https://sacrd.org/directory/organization?zipcode=78211,,org,4,see-more,2,2
https://sacrd.org/directory/subcategory/nutrition-education?zipcode=78205,,prog,1006,-,1,1
https://sacrd.org/directory/subcategory/food-pantry?zipcode=78214,,program,1091,phone,2,2
https://sacrd.org/directory/organization?zipcode=78203,,program,1043,see-more,1,1
https://sacrd.org/directory/subcategory/food-pantry?zipcode=78218,,prog,1091,phone,2,2
https://sacrd.org/directory/search?s=counseling&zipcode=78237,counseling,org,5,-,1,1
https://sacrd.org/directory/subcategory/emergency-food?zipcode=78228,,program,1095,click,2,2
https://sacrd.org/directory/search?s=free+meals&zipcode=78237,free meals,prog,1093,-,1,1
https://sacrd.org/directory/search?s=food+pantry&zipcode=78218,food pantry,program,1033,-,2,2
https://sacrd.org/directory/organization?zipcode=78201,,org,11,click,8,8
https://sacrd.org/directory/search?s=dental+clinic&zipcode=78237,dental clinic,program,1011,see-more,2,2
