URL,Search,Entity type,Entity ID,Method,Event count,Event count
https://sacrd.org/directory/search?s=nutrition+class&zipcode=78207,nutrition class,program,1000,email,5,5
https://sacrd.org/directory/search?s=despensa&zipcode=78214,despensa,program,1072,phone,1,1
https://sacrd.org/directory/search?s=grocery+help&zipcode=78218,grocery help,program,1048,phone,3,3
https://sacrd.org/directory/subcategory/food-pantry?zipcode=78207,,prog,1050,phone,2,2
https://sacrd.org/directory/search?s=food+delivery&zipcode=78207,food delivery,prog,1028,click,5,5
https://sacrd.org/directory/search?s=dental+clinic&zipcode=78214,dental clinic,org,6,phone,2,2
https://sacrd.org/directory/subcategory/affordable-fresh-food?zipcode=78211,,program,1010,see-more,2,2
https://sacrd.org/directory/organization?zipcode=78202,,org,15,-,1,1
https://sacrd.org/directory/subcategory/help-pay-for-food?zipcode=78205,,program,1065,see-more,2,2
https://sacrd.org/directory/subcategory/transportation-assistance?zipcode=78228,,prog,1102,phone,2,2
https://sacrd.org/directory/search?s=counseling&zipcode=78211,counseling,iframe,33,phone,1,1
https://sacrd.org/directory/subcategory/food-pantry?zipcode=78207,,program,1022,-,2,2
https://sacrd.org/embed/widget?zipcode=78201,,iframe,25,website,1,1
https://sacrd.org/directory/organization?zipcode=78228,,prog,1084,phone,1,1
https://sacrd.org/directory/subcategory/food-delivery?zipcode=78237,,program,1092,email,1,1
https://sacrd.org/embed/widget?zipcode=78201,,iframe,8,website,5,5
https://sacrd.org/directory/subcategory/senior-programs?zipcode=78214,,program,1094,see-more,1,1
https://sacrd.org/directory/organization?zipcode=78211,,program,1062,phone,2,2
https://sacrd.org/directory/organization?zipcode=78237,,program,1094,phone,1,1
https://sacrd.org/embed/widget?zipcode=78228,,iframe,40,website,1,1
https://sacrd.org/directory/subcategory/youth-programs?zipcode=78201,,prog,1059,-,3,3
https://sacrd.org/directory/organization?zipcode=78237,,program,1054,-,2,2
https://sacrd.org/directory/search?s=comida&zipcode=78205,comida,program,1012,-,1,1
https://sacrd.org/directory/organization?zipcode=78201,,program,1111,phone,1,1
https://sacrd.org/directory/subcategory/nutrition-education?zipcode=78214,,prog,1048,-,3,3
